School Name,District Name,Reading/Writing Score,Math Score,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Cotton Center School,Cotton Center ISD,530.0,465.0,<25,<25,80.0,<25,,<25,25.0,Texas,33.9859945,-101.9924244,2345 Farm to Market 179,79041,Hale County,Hale Center,48189,"2345 Farm to Market 179, Hale Center, Texas, 79041",950900,48189950900,2020.0,950900.0,Hale County,Texas,218.0,45.0,67.0,85.0,21.0,1653.0,169.0,76.0,482.0,397.0,61.0,311.0,157.0,20.6,30.7,39.0,9.6,10.2,4.6,29.2,24.0,3.7,18.8,9.5,1000.0,51813.0,70853.0,2869.0,1174.0,40.9,1695.0,59.1,1630.0,56.8,12.0,0.4,2.0,0.1,0.0,0.0,0.0,0.0,3.0,0.1,48.0,1.7
Hale Center H S,Hale Center ISD,515.0,453.0,<50,<25,28.2,<25,,<25,,Texas,34.0867727,-101.866362,,N/A,Hale County,N/A,48189,,950700,48189950700,2020.0,950700.0,Hale County,Texas,243.0,47.0,99.0,72.0,25.0,1855.0,363.0,143.0,610.0,430.0,54.0,206.0,49.0,19.3,40.7,29.6,10.3,19.6,7.7,32.9,23.2,2.9,11.1,2.6,1041.0,43902.0,61786.0,2726.0,1653.0,60.6,1073.0,39.4,884.0,32.4,131.0,4.8,0.0,0.0,3.0,0.1,0.0,0.0,0.0,0.0,55.0,2.0
Petersburg School,Petersburg ISD,565.0,585.0,<25,<25,12.5,<25,50.0,<25,100.0,Texas,33.87157,-101.6030437,1411 West 4th,79250,Hale County,Petersburg,48189,"1411 West 4th, Petersburg, Texas, 79250",950800,48189950800,2020.0,950800.0,Hale County,Texas,71.0,6.0,37.0,17.0,11.0,982.0,130.0,94.0,325.0,229.0,56.0,109.0,39.0,8.5,52.1,23.9,15.5,13.2,9.6,33.1,23.3,5.7,11.1,4.0,515.0,43170.0,56088.0,1342.0,803.0,59.8,539.0,40.2,520.0,38.7,8.0,0.6,0.0,0.0,0.0,0.0,4.0,0.3,0.0,0.0,7.0,0.5
Plainview H S,Plainview ISD,572.0,510.0,<375,<25,2.4,<25,11.1,<25,44.4,Texas,34.1968026,-101.7259726,1501 Quincy,79072,Hale County,Plainview,48189,"1501 Quincy, Plainview, Texas, 79072",950400,48189950400,2020.0,950400.0,Hale County,Texas,1010.0,108.0,356.0,524.0,22.0,2259.0,462.0,231.0,781.0,325.0,164.0,200.0,96.0,10.7,35.2,51.9,2.2,20.5,10.2,34.6,14.4,7.3,8.9,4.2,1291.0,43281.0,58090.0,4686.0,3267.0,69.7,1419.0,30.3,1138.0,24.3,142.0,3.0,2.0,0.0,24.0,0.5,0.0,0.0,0.0,0.0,113.0,2.4
Valley School,Turkey-Quitaque ISD,510.0,568.0,<25,<25,33.3,<25,20.0,<25,40.0,Texas,34.3716358,-100.984665,11826 Texas 86,79261,Briscoe County,Turkey,48045,"11826 Texas 86, Turkey, Texas, 79261",950200,48045950200,2020.0,950200.0,Briscoe County,Texas,106.0,0.0,62.0,23.0,21.0,1017.0,55.0,93.0,365.0,256.0,70.0,134.0,44.0,0.0,58.5,21.7,19.8,5.4,9.1,35.9,25.2,6.9,13.2,4.3,588.0,37875.0,53553.0,1348.0,487.0,36.1,861.0,63.9,791.0,58.7,16.0,1.2,0.0,0.0,0.0,0.0,6.0,0.4,0.0,0.0,48.0,3.6
Hamilton H S,Hamilton ISD,545.0,491.0,<50,<25,28.6,<25,14.3,<25,42.9,Texas,31.68499019999999,-98.1775638,,N/A,Hamilton County,N/A,48193,,950200,48193950200,2020.0,950200.0,Hamilton County,Texas,275.0,122.0,75.0,78.0,0.0,1701.0,28.0,193.0,395.0,359.0,149.0,414.0,163.0,44.4,27.3,28.4,0.0,1.6,11.3,23.2,21.1,8.8,24.3,9.6,906.0,57917.0,99945.0,2330.0,154.0,6.6,2176.0,93.4,1975.0,84.8,18.0,0.8,15.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,168.0,7.2
Hico H S,Hico ISD,529.0,527.0,<50,<25,63.9,<25,13.0,<25,43.5,Texas,31.9620717,-98.09017399999999,,N/A,Hamilton County,N/A,48193,,950100,48193950100,2020.0,950100.0,Hamilton County,Texas,102.0,0.0,21.0,81.0,0.0,1877.0,35.0,70.0,943.0,504.0,58.0,174.0,93.0,0.0,20.6,79.4,0.0,1.9,3.7,50.2,26.9,3.1,9.3,5.0,989.0,35972.0,49869.0,2673.0,425.0,15.9,2248.0,84.1,2222.0,83.1,10.0,0.4,14.0,0.5,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Spearman H S,Spearman ISD,625.0,595.0,<75,<25,3.3,<25,100.0,<25,100.0,Texas,36.1860828,-101.1872765,403 East 11th Avenue,79081,Hansford County,Spearman,48195,"403 East 11th Avenue, Spearman, Texas, 79081",950300,48195950300,2020.0,950300.0,Hansford County,Texas,286.0,52.0,93.0,112.0,29.0,2184.0,407.0,277.0,655.0,381.0,82.0,340.0,42.0,18.2,32.5,39.2,10.1,18.6,12.7,30.0,17.4,3.8,15.6,1.9,1295.0,44282.0,58961.0,3484.0,1829.0,52.5,1655.0,47.5,1645.0,47.2,10.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chillicothe School,Chillicothe ISD,,,<25,<25,7.1,<25,100.0,<25,100.0,Texas,34.2722407,-99.5006143,,N/A,Hardeman County,N/A,48197,,950100,48197950100,2020.0,950100.0,Hardeman County,Texas,289.0,80.0,89.0,120.0,0.0,2879.0,166.0,368.0,874.0,788.0,214.0,302.0,167.0,27.7,30.8,41.5,0.0,5.8,12.8,30.4,27.4,7.4,10.5,5.8,1672.0,47188.0,60592.0,3958.0,926.0,23.4,3032.0,76.6,2642.0,66.8,228.0,5.8,27.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,135.0,3.4
Quanah H S,Quanah ISD,,,<50,<25,3.0,<25,,<25,,Texas,34.3391437,-99.7678687,,N/A,Hardeman County,N/A,48197,,950100,48197950100,2020.0,950100.0,Hardeman County,Texas,289.0,80.0,89.0,120.0,0.0,2879.0,166.0,368.0,874.0,788.0,214.0,302.0,167.0,27.7,30.8,41.5,0.0,5.8,12.8,30.4,27.4,7.4,10.5,5.8,1672.0,47188.0,60592.0,3958.0,926.0,23.4,3032.0,76.6,2642.0,66.8,228.0,5.8,27.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,135.0,3.4
Travis Middle,Quanah ISD,,,<25,<25,,<25,100.0,<25,100.0,Texas,34.2952894,-99.7467846,600 West 7th Street,79252,Hardeman County,Quanah,48197,"600 West 7th Street, Quanah, Texas, 79252",950100,48197950100,2020.0,950100.0,Hardeman County,Texas,289.0,80.0,89.0,120.0,0.0,2879.0,166.0,368.0,874.0,788.0,214.0,302.0,167.0,27.7,30.8,41.5,0.0,5.8,12.8,30.4,27.4,7.4,10.5,5.8,1672.0,47188.0,60592.0,3958.0,926.0,23.4,3032.0,76.6,2642.0,66.8,228.0,5.8,27.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,135.0,3.4
Kountze H S,Kountze ISD,523.0,496.0,<75,<50,50.0,<25,10.0,<25,23.3,Texas,30.3750455,-94.33385969999999,1488 Farm to Market Road 1293,77625,Hardin County,Kountze,48199,"1488 Farm to Market Road 1293, Kountze, Texas, 77625",030400,48199030400,2020.0,30400.0,Hardin County,Texas,184.0,109.0,43.0,32.0,0.0,1507.0,71.0,249.0,669.0,266.0,110.0,101.0,41.0,59.2,23.4,17.4,0.0,4.7,16.5,44.4,17.7,7.3,6.7,2.7,758.0,56694.0,74992.0,2220.0,171.0,7.7,2049.0,92.3,1637.0,73.7,384.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.3
Silsbee H S,Silsbee ISD,505.0,471.0,<175,<100,55.2,<25,7.3,<25,20.8,Texas,30.4147787,-94.19234000000002,,N/A,Hardin County,N/A,48199,,030900,48199030900,2020.0,30900.0,Hardin County,Texas,375.0,40.0,217.0,95.0,23.0,3519.0,68.0,236.0,1316.0,792.0,429.0,608.0,70.0,10.7,57.9,25.3,6.1,1.9,6.7,37.4,22.5,12.2,17.3,2.0,1682.0,78950.0,75163.0,4970.0,127.0,2.6,4843.0,97.4,4537.0,91.3,65.0,1.3,32.0,0.6,31.0,0.6,0.0,0.0,80.0,1.6,98.0,2.0
Hardin-Jefferson H S,Hardin-Jefferson ISD,550.0,544.0,168,117,69.6,30,25.6,67,57.3,Texas,30.1330794,-94.35651299999999,,N/A,Hardin County,N/A,48199,,030200,48199030200,2020.0,30200.0,Hardin County,Texas,415.0,76.0,175.0,164.0,0.0,4171.0,224.0,201.0,1549.0,833.0,470.0,741.0,153.0,18.3,42.2,39.5,0.0,5.4,4.8,37.1,20.0,11.3,17.8,3.7,2124.0,86691.0,88292.0,6571.0,434.0,6.6,6137.0,93.4,5799.0,88.3,216.0,3.3,0.0,0.0,91.0,1.4,0.0,0.0,11.0,0.2,20.0,0.3
Lumberton H S,Lumberton ISD,517.0,501.0,262,199,76.0,30,15.1,73,36.7,Texas,30.2546337,-94.21721280000001,100 South Lhs Drive,77657,Hardin County,Lumberton,48199,"100 South Lhs Drive, Lumberton, Texas, 77657",030504,48199030504,2020.0,30504.0,Hardin County,Texas,299.0,33.0,150.0,99.0,17.0,3238.0,77.0,184.0,952.0,1393.0,162.0,368.0,102.0,11.0,50.2,33.1,5.7,2.4,5.7,29.4,43.0,5.0,11.4,3.2,1816.0,78194.0,89026.0,4531.0,118.0,2.6,4413.0,97.4,4413.0,97.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Hardin H S,West Hardin County CISD,500.0,526.0,<50,<25,11.6,<25,,<25,20.0,Texas,30.3089326,-94.6037231,,N/A,Hardin County,N/A,48199,,030100,48199030100,2020.0,30100.0,Hardin County,Texas,281.0,19.0,253.0,9.0,0.0,2452.0,73.0,290.0,1406.0,326.0,66.0,223.0,68.0,6.8,90.0,3.2,0.0,3.0,11.8,57.3,13.3,2.7,9.1,2.8,1465.0,27244.0,47284.0,3278.0,61.0,1.9,3217.0,98.1,3212.0,98.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aristoi Classical Upper School,Aristoi Classical Academy,590.0,551.0,<25,<25,100.0,<25,42.9,<25,57.1,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
George I Sanchez Charter,George I Sanchez Charter,476.0,471.0,<100,<25,14.1,<25,,<25,28.6,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Houston T-Stem And Early College H,Raul Yzaguirre Schools For Success,469.0,440.0,<100,<100,97.6,<25,,<25,11.0,Texas,29.7600771,-95.37011079999999,,N/A,Harris County,Houston,48201,,980700,48201980700,2020.0,980700.0,Harris County,Texas,226.0,32.0,50.0,84.0,60.0,1185.0,0.0,16.0,71.0,79.0,54.0,554.0,411.0,14.2,22.1,37.2,26.5,0.0,1.4,6.0,6.7,4.6,46.8,34.7,1048.0,116500.0,172615.0,1435.0,139.0,9.7,1296.0,90.3,1070.0,74.6,112.0,7.8,0.0,0.0,76.0,5.3,9.0,0.6,0.0,0.0,29.0,2.0
Houston Heights Charter School,Houston Heights High School,473.0,457.0,<100,<25,18.1,<25,13.3,<25,13.3,Texas,29.7916858,-95.4073577,1125 Lawrence Street,77008,Harris County,Houston,48201,"1125 Lawrence Street, Houston, Texas, 77008",511301,48201511301,2020.0,511301.0,Harris County,Texas,243.0,0.0,92.0,0.0,151.0,3115.0,81.0,29.0,242.0,314.0,0.0,1532.0,917.0,0.0,37.9,0.0,62.1,2.6,0.9,7.8,10.1,0.0,49.2,29.4,2027.0,111691.0,163445.0,4237.0,701.0,16.5,3536.0,83.5,3110.0,73.4,241.0,5.7,0.0,0.0,180.0,4.2,0.0,0.0,0.0,0.0,5.0,0.1
Houston Gateway Academy - Coral Ca,Houston Gateway Academy Inc,514.0,548.0,76,80,100.0,14,17.5,38,47.5,Texas,29.7157187,-95.2887168,1020 Coral Street,77012,Harris County,Houston,48201,"1020 Coral Street, Houston, Texas, 77012",311300,48201311300,2020.0,311300.0,Harris County,Texas,573.0,202.0,253.0,118.0,0.0,2897.0,441.0,560.0,1237.0,181.0,298.0,170.0,10.0,35.3,44.2,20.6,0.0,15.2,19.3,42.7,6.2,10.3,5.9,0.3,1349.0,44301.0,64645.0,4641.0,4527.0,97.5,114.0,2.5,90.0,1.9,0.0,0.0,0.0,0.0,9.0,0.2,0.0,0.0,8.0,0.2,7.0,0.2
Calvin Nelms H S,Calvin Nelms Charter Schools,512.0,503.0,<50,<50,95.0,<25,10.5,<25,26.3,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Empowerment H S,Southwest School,424.0,432.0,<100,<75,87.7,<25,1.4,<25,7.0,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Phoenix School At Southwest School,Southwest School,554.0,522.0,<50,<25,80.0,<25,20.0,<25,45.0,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Yes Prep - Southeast,Yes Prep Public Schools Inc,538.0,554.0,<125,<150,100.0,<50,28.5,<100,61.5,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Yes Prep - Southwest,Yes Prep Public Schools Inc,519.0,540.0,<150,<150,100.0,<25,18.3,<75,54.8,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Yes Prep - East End,Yes Prep Public Schools Inc,506.0,514.0,102,105,100.0,13,12.4,42,40.0,Texas,29.7363209,-95.30430059999999,,N/A,Harris County,Houston,48201,,310900,48201310900,2020.0,310900.0,Harris County,Texas,487.0,50.0,185.0,252.0,0.0,3893.0,972.0,742.0,970.0,591.0,215.0,326.0,77.0,10.3,38.0,51.7,0.0,25.0,19.1,24.9,15.2,5.5,8.4,2.0,1833.0,33097.0,49071.0,5459.0,4881.0,89.4,578.0,10.6,271.0,5.0,94.0,1.7,0.0,0.0,201.0,3.7,0.0,0.0,0.0,0.0,12.0,0.2
Yes Prep - Gulfton,Yes Prep Public Schools Inc,484.0,490.0,122,128,100.0,16,12.5,40,31.3,Texas,29.7165184,-95.48061969999999,,N/A,Harris County,Houston,48201,,421103,48201421103,2020.0,421103.0,Harris County,Texas,138.0,32.0,19.0,87.0,0.0,675.0,15.0,26.0,92.0,133.0,127.0,215.0,67.0,23.2,13.8,63.0,0.0,2.2,3.9,13.6,19.7,18.8,31.9,9.9,595.0,32131.0,35105.0,1110.0,100.0,9.0,1010.0,91.0,202.0,18.2,765.0,68.9,11.0,1.0,32.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0
Yes Prep - West,Yes Prep Public Schools Inc,529.0,543.0,<100,<125,100.0,<25,19.8,<75,52.5,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Yes Prep - Brays Oaks,Yes Prep Public Schools Inc,486.0,492.0,<100,<100,100.0,<25,6.4,<50,33.0,Texas,29.6557504,-95.5280836,,N/A,Harris County,Houston,48201,,423203,48201423203,2020.0,423203.0,Harris County,Texas,412.0,20.0,140.0,227.0,25.0,1461.0,228.0,149.0,339.0,272.0,84.0,369.0,20.0,4.9,34.0,55.1,6.1,15.6,10.2,23.2,18.6,5.7,25.3,1.4,967.0,42516.0,48986.0,2318.0,855.0,36.9,1463.0,63.1,258.0,11.1,1193.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.5
Yes Prep - Northside,Yes Prep Public Schools Inc,491.0,504.0,97,98,100.0,8,8.2,32,32.7,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Yes Prep - 5th Ward,Yes Prep Public Schools Inc,491.0,493.0,<100,<100,100.0,<25,8.1,<50,39.4,Texas,29.774115,-95.32987899999999,1305 Benson Street,77020,Harris County,Houston,48201,"1305 Benson Street, Houston, Texas, 77020",211302,48201211302,2020.0,211302.0,Harris County,Texas,126.0,34.0,39.0,53.0,0.0,2052.0,227.0,243.0,648.0,582.0,81.0,114.0,157.0,27.0,31.0,42.1,0.0,11.1,11.8,31.6,28.4,3.9,5.6,7.7,1276.0,32366.0,38176.0,2724.0,963.0,35.4,1761.0,64.6,38.0,1.4,1723.0,63.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yes Prep - White Oak,Yes Prep Public Schools Inc,477.0,482.0,<100,<100,100.0,<25,7.2,<50,28.9,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Yes Prep North Forest,Yes Prep Public Schools Inc,492.0,492.0,<100,<125,100.0,<25,11.7,<50,35.0,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Yes Prep - North Central,Yes Prep Public Schools Inc,507.0,538.0,108,115,100.0,27,23.5,58,50.4,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Harmony Science Academy-Houston,Harmony Science Academy,530.0,529.0,<150,<150,95.8,<50,26.1,<75,47.1,Texas,29.6813136,-95.5574129,9431 West Sam Houston Parkway South,77099,Harris County,Houston,48201,"9431 West Sam Houston Parkway South, Houston, Texas, 77099",433507,48201433507,2020.0,433507.0,Harris County,Texas,448.0,55.0,235.0,158.0,0.0,1620.0,247.0,37.0,479.0,197.0,15.0,475.0,170.0,12.3,52.5,35.3,0.0,15.2,2.3,29.6,12.2,0.9,29.3,10.5,1178.0,27900.0,37755.0,2980.0,1707.0,57.3,1273.0,42.7,411.0,13.8,559.0,18.8,0.0,0.0,303.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0
Harmony School Of Innovation - Hou,Harmony Science Academy,,,<25,<25,,<25,,<25,100.0,Texas,29.6818167,-95.5580645,9421 West Sam Houston Parkway South,77099,Harris County,Houston,48201,"9421 West Sam Houston Parkway South, Houston, Texas, 77099",433507,48201433507,2020.0,433507.0,Harris County,Texas,448.0,55.0,235.0,158.0,0.0,1620.0,247.0,37.0,479.0,197.0,15.0,475.0,170.0,12.3,52.5,35.3,0.0,15.2,2.3,29.6,12.2,0.9,29.3,10.5,1178.0,27900.0,37755.0,2980.0,1707.0,57.3,1273.0,42.7,411.0,13.8,559.0,18.8,0.0,0.0,303.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0
Harmony School Of Ingenuity-Housto,Harmony Science Academy,487.0,495.0,<100,<125,100.0,<25,20.0,<50,33.0,Texas,29.6675093,-95.4386315,10555 Stella Link Road,77025,Harris County,Houston,48201,"10555 Stella Link Road, Houston, Texas, 77025",420100,48201420100,2020.0,420100.0,Harris County,Texas,292.0,53.0,100.0,94.0,45.0,1917.0,146.0,255.0,261.0,209.0,60.0,439.0,547.0,18.2,34.2,32.2,15.4,7.6,13.3,13.6,10.9,3.1,22.9,28.5,1446.0,48141.0,66193.0,2799.0,1022.0,36.5,1777.0,63.5,398.0,14.2,952.0,34.0,0.0,0.0,395.0,14.1,0.0,0.0,0.0,0.0,32.0,1.1
Harmony School Of Advancement-Hous,Harmony School Of Excellence,543.0,557.0,<150,<150,100.0,<50,31.8,<100,59.8,Texas,29.9364334,-95.4661069,3171 North Sam Houston Parkway West,77038,Harris County,Houston,48201,"3171 North Sam Houston Parkway West, Houston, Texas, 77038",241503,48201241503,2020.0,241503.0,Harris County,Texas,230.0,109.0,92.0,29.0,0.0,1349.0,298.0,280.0,280.0,270.0,126.0,69.0,26.0,47.4,40.0,12.6,0.0,22.1,20.8,20.8,20.0,9.3,5.1,1.9,646.0,39460.0,48717.0,2314.0,1457.0,63.0,857.0,37.0,205.0,8.9,558.0,24.1,0.0,0.0,94.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0
Harmony School Of Discovery - Hous,Harmony School Of Excellence,535.0,540.0,<50,<50,93.8,<25,26.7,<50,55.6,Texas,29.8633886,-95.68227859999999,6270 Barker Cypress Road,77084,Harris County,Houston,48201,"6270 Barker Cypress Road, Houston, Texas, 77084",541302,48201541302,2020.0,541302.0,Harris County,Texas,619.0,106.0,324.0,111.0,78.0,4524.0,327.0,933.0,1253.0,1144.0,277.0,464.0,126.0,17.1,52.3,17.9,12.6,7.2,20.6,27.7,25.3,6.1,10.3,2.8,2177.0,54111.0,63012.0,7696.0,4678.0,60.8,3018.0,39.2,1083.0,14.1,1636.0,21.3,0.0,0.0,245.0,3.2,0.0,0.0,0.0,0.0,54.0,0.7
